abstract,"Abstract Hydrophilic dendrimers, especially poly(amidoamine) (PAMAM) dendrimers are widely applied in modifying fluorescent dyes to endow them with water solubility and biocompatibility for biologic fluorescence imaging. Common preparation strategies of fluorescent dendrimers including encapsulating dyes or attaching dyes at periphery of dendrimers might cause uncertain constituent and lower biocompatibility. Here, we have developed a series of watersoluble fluorescent dendrimers with dye as core and fanshaped PAMAM as arms. Carboxylated perylene bisimides (PBI) dye and squarylium indocyanine (SICy) dye were conjugated with PAMAM dendrons by amidation to obtain a series of fluorescent dendrimers with enhanced water-solubility. Two PBI based dendrimers (PBI-G2.5 and PBI-G1.5) were chosen as model compounds for further optical, selfassembly and biological studies. In aqueous environment, PBI-G2.5 exhibited strong fluorescence, small size (~30 nm) and slightly positive surface charge (~2.46 mV), which are ideal for biomedical applications. In vitro assays demonstrated that PBI-G2.5 nanoparticles accumulated in the cytoplasm of HeLa cells with rapid cellular uptake. The strong fluorescence in HeLa cells remained for over 48 h. To conclude, our study provides an effective strategy for preparing water-soluble fluorescent dendrimers towards long-term live cell imaging."
journal_title,Science China Materials
article_title,Black phosphorus quantum dot/g-C3N4 composites for enhanced CO2 photoreduction to CO黑磷量子点/g-C3N4复合光催化剂的制备及其增强的光催化还原CO2到CO性能
keyword,"['black phosphorus quantum dots\xa0', None, 'photocatalysis\xa0', None]"
history,"['2018-03-21', '2018-02-01', '2018-03-06']"
abstract,"Abstract The development of low cost, metal free semiconductor photocatalysts for CO2 reduction to fuels and valuable chemical feedstocks is a practically imperative for reducing anthropogenic CO2 emissions. In this work, black phosphorus quantum dots (BPQDs) were successfully dispersed on a graphitic carbon nitride (g-C3N4) support via a simple electrostatic attraction approach, and the activities of BP@g-C3N4 composites were evaluated for photocatalytic CO2 reduction. The BP@g-C3N4 composites displayed improved carrier separation efficiency and higher activities for photocatalytic CO2 reduction to CO (6.54 μmol g−1 h−1 at the optimum BPQDs loading of 1 wt%) compared with pure g-C3N4 (2.65 μmol g−1 h−1). This work thus identifies a novel approach towards metal free photocatalysts for CO2 photoreduction."
journal_title,Science China Materials
article_title,Corrosion resistance and cytocompatibility of Ti-20Zr-10Nb-4Ta alloy surface modified by a focused fiber laser激光表面改性Ti-20Zr-10Nb-4Ta合金的耐腐蚀性与细胞相容性研究
keyword,"['laser\xa0', 'Ti-20Zr-10Nb-4Ta\xa0', 'corrosion resistance\xa0', 'cytocompatibility\xa0']"
history,"['2018-03-21', '2017-11-05', '2018-03-05']"
abstract,"Abstract The corrosion resistance and cytocompatibility of Ti-20Zr-10Nb-4Ta (TZNT) alloy modified by surface laser treatment were investigated. The scanning electron microscopy (SEM) measurements indicated that laser treatment on TZNT alloy generated groove morphologies with the width of ~40 μm and the depth of ~10 μm on the surface. The water contact angles along the groove direction decreased by 51% compared with that of the untreated alloy. The laser treatment promoted the oxidation of metallic Ti, Zr and Nb and produced more stable oxides on surface. The corrosion potential increased by 50% and corrosion current density decreased by 72% compared with that of the untreated alloy in the anodic polarization test for the alloy in Hank’s solution at 37°C. This indicated the improvement of the corrosion resistance by laser treatment. The cytotoxicity testing results showed that the laser-treated TZNT alloy performed similar MC3T3-E1 cell viability compared with the untreated alloy. The cells displayed oriented growth along the groove direction due to the increased hydrophilicity. This novel material may be a new candidate in orthopedics and dentistry implantations fields."
journal_title,Science China Materials
article_title,Cu2GeS3 derived ultrafine nanoparticles as high-performance anode for sodium ion batteryCu2GeS3衍生超细纳米微粒作为高性能钠离子电池负极材料
keyword,"['sodium ion battery\xa0', 'nanoparticle copper germanium sulfide\xa0', 'anode material\xa0', 'full cell\xa0']"
history,"['2018-03-16', '2018-01-11', '2018-02-25']"
abstract,"Abstract Germanium based sulfides are potentially attractive as anode material for sodium ion batteries but rarely investigated. Herein, we firstly investigated Na+ storage properties of pristine Cu2GeS3 (PCGS) and found an effective strategy to improve its performance by a single lithiation/delithiation cycle obtaining ultrafine nanoparticle copper germanium sulfide (NCGS). The lithiation/delithiation process leads to the formation of a stable Li-containing solid electrolyte interphase film and a significant improvement of sodiation kinetics. Therefore, the NCGS anode delivers favorable capacity retention and better rate capability compared with that of a PCGS whether in the half cell or in the full cell, showing great promise for energy storage application."
journal_title,Science China Materials
article_title,Maximizing the visible light photoelectrochemical activity of B/N-doped anatase TiO2 microspheres with exposed dominant {001} facetsB/N掺杂富含{001}晶面锐钛矿TiO2的最佳可见光光电催化水氧化活性研究
keyword,"['photoelectrochemistry\xa0', None, 'water splitting\xa0', 'doping\xa0']"
history,"['2018-03-15', '2018-01-27', '2018-02-16']"
abstract,"Abstract Anatase TiO2 microspheres with exposed dominant BBBBB001BBBBB facets were doped with interstitial boron to have a concentration gradient with the maximum concentration at the surface. They were then further doped with substitutional nitrogen by heating in an ammonia atmosphere at different temperatures from 440 to 560°C to give surface N concentrations ranging from 7.03 to 15.47 at%. The optical absorption, atomic and electronic structures and visible-light photoelectrochemical water oxidation activity of these materials were investigated. The maximum activity of the doped TiO2 was achieved at a nitrogen doping temperature of 520°C that gave a high absorbance over the whole visible light region but with no defect-related background absorption."
journal_title,Science China Materials
article_title,PbCrO4 yellow-pigment nanorods: An efficient and stable visible-light-active photocatalyst for O2 evolution and photodegradation铬酸铅纳米棒: 一种高效、稳定的可见光产氧和光降解催化剂
keyword,"[None, 'pollutant\xa0', None, 'visiblelight- active\xa0', 'photocatalyst\xa0']"
history,"['2018-03-15', '2017-12-09', '2018-02-09']"
abstract,"Abstract Here, PbCrO4 nanorods, a commonly used and low-cost yellow pigment, was synthesized via a simple precipitation reaction and can serve as a highly efficient oxygen production and photodegradation photocatalyst. The obtained PbCrO4 nanorods exhibit excellent stability and photocatalytic performance for O2 evolution from water. The production rate is approximately 314.0 μmol h−1 g−1 under visible light, and the quantum efficiency is approximately 2.16% at 420±10 nm and 0.05% at 600±10 nm. In addition, the PbCrO4 shows good degradation performance for methylene blue, methyl blue, methyl orange and phenol under visiblelight irradiation. These results indicate that it is potential to fabricate an effective, robust PbCrO4 photocatalyst by transforming heavy-metal pollutants Pb(II) and Cr(VI) into a highly efficient O2 evolution and photodegradation material. This strategy which uses pollutant to produce clean energy and degrade contaminants is completely green and environmentally benign, and thus could be a promising way for practical environmental applications."
journal_title,Science China Materials
article_title,Humidity-responsive nanocomposite of gold nanoparticles and polyacrylamide brushes grafted on Ag film: synthesis and application as plasmonic nanosensor湿度响应纳米复合材料的组装及其SERS传感器应用
keyword,"['RH-response\xa0', 'plasmonic nanosensor\xa0', 'SERS\xa0']"
history,"['2018-03-15', '2017-12-18', '2018-02-13']"
abstract,"Abstract A general stepwise strategy for the preparation of new humidity-responsive plasmonic nanosensor was described for the first time, based on Ag film functionalization by polyacrylamide (PAAM) brushes via surface-initiated atom transfer radical polymerization (SI-ATRP) method and then assembled with gold nanoparticles (Au NPs). We designed by this way a new plasmonic device made of Au NPs embedded in a humid vapor responsive polymer layer on Ag film and extensively characterized by surface-enhanced Raman scattering (SERS). When the relative humidity (RH) is above 50%, the number of plasmonic hotspots decreases, causing SERS signal reduced noticeably, for the volume expansion of PAAM brushes varied the nano-gap between closely spaced Au NPs, and between Au NPs and Ag film. The reversible optical properties of the prepared nanocomposite tuned by RH were probed through SERS using 4-mercaptopyridine (4-Mpy) as a molecular probe, and the decrease of the RH reversibly induces a significant enhancement of the 4-Mpy SERS signal. By means of the high reversibility, the RH responsive nanocomposite developed in this paper provides a dynamic SERS platform and can be applied as plasmonic nanosensor which is proved to be stable for at least two months."
journal_title,Science China Materials
article_title,CuxO self-assembled mesoporous microspheres with effective surface oxygen vacancy and their room temperature NO2 gas sensing performance精准调控表面氧空位的CuxO自组装介孔微球及其室温检测NO2的气敏性能
keyword,"['self-assembly\xa0', 'mesoporous\xa0', None, 'oxygen vacancy\xa0', None]"
history,"['2018-03-12', '2017-11-24', '2018-01-30']"
abstract,"Abstract A series of Cu x O self-assembled mesoporous microspheres (SMMs), with different and controlled morphology (virus-like, urchin-like, spherical), were synthesized by facile liquid phase approach. The morphology of the as-prepared Cu x O SMMs was evolved from spherical to virus-like shape by controlling the ratio of DI water in solution. It can also realize the transformation from loose assembly to dense assembly by extending the reaction time. These Cu x O SMMs exhibited good response to NO2 gas at room temperature, benefiting from their 3D self-assembly structure. Among these the resulting virus-like CuxO SNMMs-based sensor exhibits largely enhanced response to 1 ppm NO2 gas at room temperature. The enhanced response of the virus-like Cu2O SMMsbased sensor can be ascribed to the high surface area, hierarchical 3D nanostructures, micropores for effective gas diffusion, the heterojunctions formed between CuO and Cu2O, and the existence of abundant surface oxygen vacancies."
journal_title,Science China Materials
article_title,A FeSe-based superconductor (C2H8N2)xFeSe with only ethylenediamine intercalated仅有乙二胺插层的铁硒基超导体(C2H8N2)xFeSe
keyword,"['ethylenediamine\xa0', 'FeSe\xa0', 'intercalation\xa0', 'superconductivity\xa0']"
history,"['2018-03-12', '2017-12-01', '2018-02-10']"
abstract,"Abstract A new FeSe-based superconductor (C2H8N2) x  FeSe with ethylenediamine intercalated into FeSe was successfully synthesized by the solvothermal method, which is the first superconducting instance by metal-free organic molecule intercalation. Elemental analysis and TG-IR-GC/MS data reveal that the ethylenediamine molecules in the interlayer space are separate and intact. The X-ray diffraction (XRD) pattern indicates that the intercalation compound is an orthorhombic lattice rather than a tetragonal lattice applying to almost all the previous FeSe-based superconductors at room temperature. The magnetism measurements display a sharp superconducting transition at ∼10 K which is assigned to (C2H8N2) x FeSe, and a tiny drop in susceptibility at ∼30 K."
journal_title,Science China Materials
article_title,Hierarchical mesoporous Co3O4@ZnCo2O4 hybrid nanowire arrays supported on Ni foam for high-performance asymmetric supercapacitors用于高性能非对称超级电容器电极的泡沫镍负载分层介孔Co3O4@ZnCo2O4混合纳米线阵列
keyword,"[None, 'nanowire arrays\xa0', 'specific capacity\xa0', 'asymmetric supercapacitor\xa0']"
history,"['2018-03-07', '2017-12-11', '2018-02-10']"
abstract,"Abstract In this paper, hierarchical mesoporous Co3O4@ZnCo2O4 hybrid nanowire arrays (NWAs) on Ni foam were prepared through a two-step hydrothermal process associated with successive annealing treatment. The Co3O4@ZnCo2O4 hybrid NWAs exhibited excellent electrochemical performances with a high specific capacity of 1240.5 C g−1 at a current density of 2 mA cm−2, with rate capability of 59.0% shifting from 2 to 30 mA cm−2, and only a 9.1% loss of its capacity even after 3,000 cycles at a consistent current density of 10 mA cm−2. An asymmetric supercapacitor (Co3O4@ZnCo2O4 NWAs||activated carbon) was fabricated and exhibited a high specific capacity of 168 C g−1 at a current density of 1 A g−1. And a preferable energy density of 37.3Wh kg−1 at a power density of 800 W kg−1 was obtained. The excellent electrochemical performances indicate the promising potential application of the hierarchical mesoporous Co3O4@ZnCo2O4 hybrid NWAs in energy storage field."
journal_title,Science China Materials
article_title,Optical visualization of MoS2 grain boundaries by gold deposition金沉积法使MoS2晶界光学可视化
keyword,"['grain boundaries\xa0', 'gold deposition\xa0', 'optical microscope\xa0', None]"
history,"['2018-03-07', '2018-01-03', '2018-02-13']"
abstract,"Abstract The grain boundaries (GBs) in continuous films or domains of MoS2 are vital to its optical and electrical properties. Almost all previous approaches for GBs visualization are based on microscopy and spectroscopy and only effective for domains with less than several micrometers in size. Here we report a simple method for the visualization of large GBs in MoS2 surface by optical microscope. Gold was deposited on the MoS2 grown by chemical vapor deposition, and then the GBs could be observed by optical microscope. Upon gold deposition on MoS2, the entire GBs of large-area MoS2 were clearly visualized using this method. To verify the result, the GBs were also characterized via scanning electron microscopy, transmission electron microscopy and atomic force microscopy. It showed the small particles of gold were clustered together on GBs, which had a larger binding energy than the inner regions. The method is universal and allows for the nondestructive identification of the GBs in any two dimensional materials with large area."
journal_title,Science China Materials
article_title,Rotating magnetic field-controlled fabrication of magnetic hydrogel with spatially disk-like microstructures旋转磁场调控组装圆盘状微结构磁性水凝胶
keyword,"['magnetic nanoparticles\xa0', 'assembly\xa0', 'rotating magnetic field\xa0', 'hydrogel\xa0', 'intelligent fabrication\xa0']"
history,"['2018-03-06', '2017-12-10', '2018-01-27']"
abstract,"Abstract Composite biomaterials with controllable microstructures play an increasingly important role in tissue engineering and regenerative medicine. Here, we report a magnetic hydrogel composite with disk-like microstructure fabricated by assembly of iron oxide nanoparticles during the gelation process in the presence of rotating magnetic field. It should be mentioned that the iron oxide nanoparticles here were synthesized identically following techniques of Ferumoxytol that is the only inorganic nanodrug approved by FDA for clinical applications. The microstructure of nanoparticles inside the hydrogel was ordered three-dimensionally due to the twist of the aligned chains of magnetic nanoparticles which leads to the lowest state of systematic energy. The size of microstructure can be tuned from several micrometers to tens of micrometers by changing the assembly parameters. With the increase of microstructure size, the magnetothermal anisotropy was also augmented. This result confirmed that the assembly-induced anisotropy can occur even for the several micron aggregates of nanoparticles. The rotating magnetic field-assisted technique is cost-effective, simple and flexible for the fabrication of composite hydrogel with ordered microstructure. We believe it will be favorable for the quick, green and intelligent fabrication of some composite materials."
journal_title,Science China Materials
article_title,Towards high-density recording of brain-wide neural activity
keyword,[]
history,"['2018-03', '2018-01-08', '2017-11-30', '2017-12-04']"
abstract,None
journal_title,Science China Materials
article_title,Non-spherical polymersomes driven by directional aromatic interactions
keyword,[]
history,"['2018-03', '2017-12-19', '2017-12-13', '2017-12-14']"
abstract,None
journal_title,Science China Materials
article_title,Biotechnology smart control over stem cell fate commitment at nanoscale
keyword,[]
history,"['2018-03', '2017-12-27', '2017-12-08', '2017-12-12']"
abstract,None
journal_title,Science China Materials
article_title,Graphene-based membranes for organic solvent nanofiltration
keyword,[]
history,"['2018-03', '2018-01-08', '2017-12-08', '2017-12-12']"
abstract,None
journal_title,Science China Materials
article_title,Nano-structured red phosphorus/porous carbon as a superior anode for lithium and sodium-ion batteries红磷/多孔碳纳米复合材料用于高性能锂离子和钠离子电池负极
keyword,"['ion battery\xa0', 'red phosphorus/porous carbon composite\xa0', 'nanostructure\xa0', 'electrochemical performance\xa0']"
history,"['2018-03', '2017-12-22', '2017-09-08', '2017-10-27']"
abstract,"Abstract To enhance electrochemical performance of lithium or sodium-ion batteries (LIBs or NIBs), active materials are usually filled in porous conductive particles to produce anode composites. However, it is still challenging to achieve high performance anode composites with high specific capacity, excellent rate performance, high initial Coulombic efficiency (ICE) and long cycle life. Based on these requirements, we design and fabricate activated carbon-coated carbon nanotubes (AC@CNT) with hierarchical structures containing micro- and meso-pores. A new structure of phosphorus/carbon composite (P@AC@CNT) is prepared by confining red P in porous carbon through a vaporization-condensation-conversion method. The micro-pores are filled with P, while the meso-pores remain unoccupied, and the pore openings on the particle surface are sealed by P. Due to the unique structure of P@AC@CNT, it displays a high specific capacity of 1674 mA h g−1 at 0.2 C, ultrahigh ICE of 92.2%, excellent rate performance of 1116 mA h g−1 at 6 C, and significantly enhanced cycle stability for LIBs. The application of P@AC@CNT in NIBs is further explored. This method for the fabrication of the special composites with improved electrochemical performance can be extended to other energy storage applications."
journal_title,Science China Materials
article_title,Ni(OH)2 nanoflakes supported on 3D hierarchically nanoporous gold/Ni foam as superior electrodes for supercapacitors三维分级结构氢氧化镍纳米片@纳米多孔金/泡沫镍超级电容器电极材料
keyword,"['supercapacitor\xa0', 'nanoporous gold\xa0', 'nickel hydroxide\xa0', 'electrode material\xa0', 'hierarchical porosity\xa0']"
history,"['2018-03', '2017-12-12', '2017-08-08', '2017-10-17']"
abstract,"Abstract The increasing demand for portable electronic devices and hybrid electric vehicles stimulates the development of supercapacitors as an advanced energy storage system. Here, we demonstrate a binder-free nickel hydroxide@nanoporous gold/Ni foam (Ni(OH)2@NPG/Ni foam) electrode for high-performance supercapacitors, which is prepared by a facile three-step fabrication route including electrodeposition of Au-Sn alloy on Ni foam, chemical dealloying of Sn and electrodepostion of Ni(OH)2 on NPG/Ni foam. Such Ni(OH)2@NPG/Ni foam electrode is composed of a thin layer of conformable Ni(OH)2 nanoflakes supported on three-dimensional (3D) hierarchically porous NPG/Ni foam substrate. The resulting Ni(OH)2@NPG/Ni foam electrode can offer highways for both electron transfer and ion transport and lead to an excellent electrochemical performance with an ultrahigh specific capacitance of 3380 F g-1 at a current density of 2 A g−1. Even when the current density was increased to 50 A g−1, it still retained a high capacitance of 1927 F g−1. The promising performance of the Ni(OH)2@NPG/Ni foam electrode is mainly ascribed to the 3D hierarchical porosity and the highly conductive network on the NPG/Ni foam composite current collector, as well as the conformal electrodeposition of Ni(OH)2 active material on the NPG/Ni foam, which induces the formation of interconnected porosity both on the top surface and on the inner surface of the electrode. This inspiring electrochemical performance would make the as-designed electrode material become one of the most promising candidates for future electrochemical energy storage systems."
journal_title,Science China Materials
article_title,Au nanoparticle@silica@europium coordination polymer nanocomposites for enhanced fluorescence and more sensitive monitoring reactive oxygen species复合纳米材料Au@SiO2@Eu配位聚合物的荧光增强及其对活性氧的高灵敏检测研究
keyword,"['nanocomposites\xa0', 'fluorescence enhancement\xa0', 'silica\xa0', 'coordination polymers\xa0', 'reactive oxygen species\xa0']"
history,"['2018-03', '2017-10-26', '2017-08-07', '2017-09-20']"
abstract,"Abstract Au nanoparticle (Au NP)@SiO2@TDA-Eu nanocomposites were prepared by a two-step process: Au NP@SiO2 nanocomposites were prepared by a modified onepot process. Then the europium coordination polymer was deposited on the surface of the Au NP@SiO2 by mixing 2,2’-thiodiacetic acid [S(CH2COO)22-, TDA] and Eu(NO3)3·6H2O in ethanol via a hydrothermal method. The maximum fluorescent enhancement factor of the nanocomposites was 6.81 at 30 nm thickness of silica between the core of the Au NP and the shell of TDA-Eu. The prepared nanocomposites exhibit more sensitive monitoring of reactive oxygen species."
journal_title,Science China Materials
article_title,A stable lead halide perovskite nanocrystals protected by PMMA一种高分子保护的铅卤钙钛矿纳米晶
keyword,"['perovskite nanocrystals\xa0', 'polymer framework\xa0', 'surface coatings\xa0', 'interface phase\xa0']"
history,"['2018-03', '2018-02-25', '2017-08-21', '2017-10-24']"
abstract,"Abstract To enhance the stability in humidity is very crucial to hybrid organic-inorganic lead halide perovskites in a broad range of applications. This report describes a coating stratergy of perovskite nanocrystals via polymethylmethacrylate-introduced ligand-assisted reprecipitation, using the interactions between the Pb cations on the surface of perovskite nanocrystals and the functional ester carbonyl groups in polymethylmethacrylate framework. The hydrophobic framework shields the open metal sites of hybrid organic-inorganic lead halide perovskites from being attacked by water, effectively retarding the diffusion of water into the perovskite nanocrystals. The as-prepared films demonstrate high resistance to heat and moisture. Additionally, the introduction of polymethylmethacrylate into ligand-assisted reprecipitation can effectively control the bulk precipitation and promote the stability of the perovskite solution."
journal_title,Science China Materials
article_title,Room-temperature sintered metal-organic framework nanocrystals: A new type of optical ceramics室温烧结的金属—有机框架纳米晶: 一种新型光学陶瓷
keyword,[]
history,"['2018-03', '2018-01-08', '2017-12-16', '2017-12-18']"
abstract,"摘要光学陶瓷是一种透明的特种陶瓷, 可兼备单晶的高稳定性和玻璃、 流体和其他非晶材料的大尺寸的优点, 是有潜力的激光增益介质. 因为对晶体尺寸和对称性有严格要求, 而且需要高温烧结过程, 只有少数无机非金属材料可用于制备光学陶瓷. 本文报道了一种由配位聚合物(或称金属—有机框架)组成的新型陶瓷. 通过简单地降低溶剂挥发速度, MAF-4(即SOD型二甲基咪唑锌, 也称ZIF-8)的纳米晶即可融合形成致密的陶瓷状块体, 甚至具有毫米级尺寸和高达84%可见光透过率. 该金属—有机光学陶瓷MOOC-1可以负载荧光染料sulforhodamine 640并保持其发光特性, 包括很高的量子产率63.6%和极低的放大自发辐射阈值31 μJ cm-2. 其他几种金属—有机框架的纳米晶也可以在类似条件下融合成陶瓷或光学陶瓷. 考虑到金属—有机框架的结构和功能多样性, 金属—有机陶瓷不但可用作光学器件, 还可能在吸附、 分离、 传感等相关领域展现潜力."
journal_title,Science China Materials
article_title,Thermally-assisted photodegradation of lignin by TiO2/H2O2 under visible/near-infrared light irradiation利用TiO2/H2O2在可见/近红外光照射下热辅助光催化降解木素
keyword,"['lignin\xa0', 'thermally-assisted photocatalysis\xa0', None, None, 'near-infrared light\xa0']"
history,"['2018-03', '2017-12-22', '2017-08-14', '2017-12-08']"
