Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Oceanological and Hydrobiological Studies","Oceanological and Hydrobiological Studies","","40 / 2011 - 43 / 2014","","","","","http://link.springer.com/journal/13545","Journal"
"Pediatric and Developmental Pathology","Pediatric and Developmental Pathology","","1 / 1998 - 8 / 2005","","","","","http://link.springer.com/journal/10024","Journal"
"East Asian Science, Technology and Society: an International Journal","East Asian Science, Technology and Society: an International Journal","","1 / 2007 - 4 / 2010","","","","","http://link.springer.com/journal/12280","Journal"
"Review of Agricultural, Food and Environmental Studies","Review of Agricultural, Food and Environmental Studies","","97 / 2016 - 98 / 2017","","","","","http://link.springer.com/journal/41130","Journal"
"European Journal of Orthopaedic Surgery & Traumatology","European Journal of Orthopaedic Surgery & Traumatology","","1 / 1991 - 28 / 2018","","","","","http://link.springer.com/journal/590","Journal"
"The Journal of Indian Prosthodontic Society","The Journal of Indian Prosthodontic Society","","10 / 2010 - 14 / 2014","","","","","http://link.springer.com/journal/13191","Journal"
"Decisions in Economics and Finance","Decisions in Economics and Finance","","1 / 1978 - 41 / 2018","","","","","http://link.springer.com/journal/10203","Journal"
"Afrika Matematika","Afrika Matematika","","22 / 2011 - 29 / 2018","","","","","http://link.springer.com/journal/13370","Journal"
"Mammalian Genome","Mammalian Genome","","1 / 1991 - 29 / 2018","","","","","http://link.springer.com/journal/335","Journal"
"Journal of Shanghai Jiaotong University (Science)","Journal of Shanghai Jiaotong University (Science)","","13 / 2008 - 23 / 2018","","","","","http://link.springer.com/journal/12204","Journal"
"Surgical Case Reports","Surgical Case Reports","","1 / 2015 - 4 / 2018","","","","","http://link.springer.com/journal/40792","Journal"
"Community Mental Health Journal","Community Mental Health Journal","","1 / 1965 - 54 / 2018","","","","","http://link.springer.com/journal/10597","Journal"
"International Journal of Wireless Information Networks","International Journal of Wireless Information Networks","","1 / 1994 - 25 / 2018","","","","","http://link.springer.com/journal/10776","Journal"
"Helminthologia","Helminthologia","","43 / 2006 - 51 / 2014","","","","","http://link.springer.com/journal/11687","Journal"
"Acta Politica","Acta Politica","","38 / 2003 - 53 / 2018","","","","","http://link.springer.com/journal/41269","Journal"
"Journal of Statistical Physics","Journal of Statistical Physics","","1 / 1969 - 171 / 2018","","","","","http://link.springer.com/journal/10955","Journal"
"Journal of Big Data","Journal of Big Data","","1 / 2014 - 5 / 2018","","","","","http://link.springer.com/journal/40537","Journal"
"Rare Metals","Rare Metals","","28 / 2009 - 37 / 2018","","","","","http://link.springer.com/journal/12598","Journal"
"EPJ Data Science","EPJ Data Science","","1 / 2012 - 7 / 2018","","","","","http://link.springer.com/journal/13688","Journal"
"International Seminars in Surgical Oncology","International Seminars in Surgical Oncology","","1 / 2004 - 7 / 2010","","","","","http://link.springer.com/journal/12956","Journal"
"Interchange","Interchange","","1 / 1970 - 49 / 2018","","","","","http://link.springer.com/journal/10780","Journal"
"Springer Science Reviews","Springer Science Reviews","","1 / 2013 - 5 / 2017","","","","","http://link.springer.com/journal/40362","Journal"
"Journal of Simulation","Journal of Simulation","","1 / 2006 - 11 / 2017","","","","","http://link.springer.com/journal/41273","Journal"
"Optical Networks Magazine","Optical Networks Magazine","","1 / 2000 - 4 / 2003","","","","","http://link.springer.com/journal/11078","Journal"
"Landslides","Landslides","","1 / 2004 - 15 / 2018","","","","","http://link.springer.com/journal/10346","Journal"
"User Modeling and User-Adapted Interaction","User Modeling and User-Adapted Interaction","","1 / 1991 - 28 / 2018","","","","","http://link.springer.com/journal/11257","Journal"
"Biology Bulletin","Biology Bulletin","","27 / 2000 - 45 / 2018","","","","","http://link.springer.com/journal/10525","Journal"
"Plant Cell Reports","Plant Cell Reports","","1 / 1982 - 37 / 2018","","","","","http://link.springer.com/journal/299","Journal"
"Journal of International Humanitarian Action","Journal of International Humanitarian Action","","1 / 2016 - 3 / 2018","","","","","http://link.springer.com/journal/41018","Journal"
"International Journal of Fracture","International Journal of Fracture","","1 / 1965 - 210 / 2018","","","","","http://link.springer.com/journal/10704","Journal"
"Human Resources for Health","Human Resources for Health","","1 / 2003 - 16 / 2018","","","","","http://link.springer.com/journal/12960","Journal"
"Aerosol Science and Engineering","Aerosol Science and Engineering","","1 / 2017 - 2 / 2018","","","","","http://link.springer.com/journal/41810","Journal"
"Politische Vierteljahresschrift","Politische Vierteljahresschrift","","41 / 2000 - 59 / 2018","","","","","http://link.springer.com/journal/11615","Journal"
"Genes & Genomics","Genes & Genomics","","31 / 2009 - 40 / 2018","","","","","http://link.springer.com/journal/13258","Journal"
"Marine Biodiversity","Marine Biodiversity","","28 / 1998 - 48 / 2018","","","","","http://link.springer.com/journal/12526","Journal"
"Optical and Quantum Electronics","Optical and Quantum Electronics","","1 / 1969 - 50 / 2018","","","","","http://link.springer.com/journal/11082","Journal"
"Diseases of the Colon & Rectum","Diseases of the Colon & Rectum","","1 / 1958 - 51 / 2008","","","","","http://link.springer.com/journal/10350","Journal"
"WMU Journal of Maritime Affairs","WMU Journal of Maritime Affairs","","1 / 2002 - 17 / 2018","","","","","http://link.springer.com/journal/13437","Journal"
"ATZextra worldwide","ATZextra worldwide","","12 / 2007 - 22 / 2017","","","","","http://link.springer.com/journal/40111","Journal"
"Multilingual Education","Multilingual Education","","1 / 2011 - 6 / 2016","","","","","http://link.springer.com/journal/13616","Journal"
"Acta Geotechnica","Acta Geotechnica","","1 / 2006 - 13 / 2018","","","","","http://link.springer.com/journal/11440","Journal"
"Der Schmerz","Der Schmerz","","1 / 1987 - 32 / 2018","","","","","http://link.springer.com/journal/482","Journal"
"Operational Research","Operational Research","","1 / 2001 - 18 / 2018","","","","","http://link.springer.com/journal/12351","Journal"
"Mathematical Notes","Mathematical Notes","","1 / 1967 - 103 / 2018","","","","","http://link.springer.com/journal/11006","Journal"
"Evolving Systems","Evolving Systems","","1 / 2010 - 9 / 2018","","","","","http://link.springer.com/journal/12530","Journal"
"Marine Biology","Marine Biology","","1 / 1967 - 165 / 2018","","","","","http://link.springer.com/journal/227","Journal"
"Irish Veterinary Journal","Irish Veterinary Journal","","57 / 2004 - 71 / 2018","","","","","http://link.springer.com/journal/13620","Journal"
"European Archives of Psychiatry and Clinical Neuroscience","European Archives of Psychiatry and Clinical Neuroscience","","1 / 1868 - 268 / 2018","","","","","http://link.springer.com/journal/406","Journal"
"Plant Methods","Plant Methods","","1 / 2005 - 14 / 2018","","","","","http://link.springer.com/journal/13007","Journal"
"Molecular and Cellular Biochemistry","Molecular and Cellular Biochemistry","","1 / 1973 - 442 / 2018","","","","","http://link.springer.com/journal/11010","Journal"
"Heat and Mass Transfer","Heat and Mass Transfer","","1 / 1968 - 54 / 2018","","","","","http://link.springer.com/journal/231","Journal"
"Contributions to Mineralogy and Petrology","Contributions to Mineralogy and Petrology","","1 / 1947 - 173 / 2018","","","","","http://link.springer.com/journal/410","Journal"
"Substance Abuse Treatment, Prevention, and Policy","Substance Abuse Treatment, Prevention, and Policy","","1 / 2006 - 13 / 2018","","","","","http://link.springer.com/journal/13011","Journal"
"International Journal of Precision Engineering and Manufacturing-Green Technology","International Journal of Precision Engineering and Manufacturing-Green Technology","","1 / 2014 - 5 / 2018","","","","","http://link.springer.com/journal/40684","Journal"
"Algebra universalis","Algebra universalis","","1 / 1971 - 79 / 2018","","","","","http://link.springer.com/journal/12","Journal"
"Applied Intelligence","Applied Intelligence","","1 / 1991 - 48 / 2018","","","","","http://link.springer.com/journal/10489","Journal"
"São Paulo Journal of Mathematical Sciences","São Paulo Journal of Mathematical Sciences","","9 / 2015 - 12 / 2018","","","","","http://link.springer.com/journal/40863","Journal"
"Environment, Development and Sustainability","Environment, Development and Sustainability","","1 / 1999 - 20 / 2018","","","","","http://link.springer.com/journal/10668","Journal"
"Mathematics and Financial Economics","Mathematics and Financial Economics","","1 / 2007 - 12 / 2018","","","","","http://link.springer.com/journal/11579","Journal"
"Journal of Inclusion Phenomena and Macrocyclic Chemistry","Journal of Inclusion Phenomena and Macrocyclic Chemistry","","1 / 1984 - 90 / 2018","","","","","http://link.springer.com/journal/10847","Journal"
"Current Addiction Reports","Current Addiction Reports","","1 / 2014 - 5 / 2018","","","","","http://link.springer.com/journal/40429","Journal"
"hautnah dermatologie","hautnah dermatologie","","25 / 2009 - 34 / 2018","","","","","http://link.springer.com/journal/15012","Journal"
"BMC Obesity","BMC Obesity","","1 / 2014 - 5 / 2018","","","","","http://link.springer.com/journal/40608","Journal"
"Experimental and Applied Acarology","Experimental and Applied Acarology","","1 / 1985 - 75 / 2018","","","","","http://link.springer.com/journal/10493","Journal"
"Employee Responsibilities and Rights Journal","Employee Responsibilities and Rights Journal","","1 / 1988 - 30 / 2018","","","","","http://link.springer.com/journal/10672","Journal"
"Molecules and Cells","Molecules and Cells","","1 / 1992 - 36 / 2013","","","","","http://link.springer.com/journal/10059","Journal"
"Il Nuovo Cimento","Il Nuovo Cimento","","1 / 1855 - 28 / 1867","","","","","http://link.springer.com/journal/11583","Journal"
"Journal of Mathematical Imaging and Vision","Journal of Mathematical Imaging and Vision","","1 / 1992 - 60 / 2018","","","","","http://link.springer.com/journal/10851","Journal"
"Clinical and Experimental Medicine","Clinical and Experimental Medicine","","1 / 2001 - 18 / 2018","","","","","http://link.springer.com/journal/10238","Journal"
"SynthesHis","SynthesHis","","9 / 2010 - 13 / 2014","","","","","http://link.springer.com/journal/12494","Journal"
"Journal of Regulatory Economics","Journal of Regulatory Economics","","1 / 1989 - 53 / 2018","","","","","http://link.springer.com/journal/11149","Journal"
"Israel Journal of Health Policy Research","Israel Journal of Health Policy Research","","1 / 2012 - 7 / 2018","","","","","http://link.springer.com/journal/13584","Journal"
"International Journal of Automotive Technology","International Journal of Automotive Technology","","9 / 2008 - 19 / 2018","","","","","http://link.springer.com/journal/12239","Journal"
"Biomedical Dermatology","Biomedical Dermatology","","1 / 2017 - 2 / 2018","","","","","http://link.springer.com/journal/41702","Journal"
"Studies on Russian Economic Development","Studies on Russian Economic Development","","17 / 2006 - 29 / 2018","","","","","http://link.springer.com/journal/11507","Journal"
"Advances in Gerontology","Advances in Gerontology","","1 / 2011 - 8 / 2018","","","","","http://link.springer.com/journal/13329","Journal"
"International Journal for Philosophy of Religion","International Journal for Philosophy of Religion","","1 / 1970 - 83 / 2018","","","","","http://link.springer.com/journal/11153","Journal"
"Agricultural Research","Agricultural Research","","1 / 2012 - 7 / 2018","","","","","http://link.springer.com/journal/40003","Journal"
"Theory in Biosciences","Theory in Biosciences","","119 / 2000 - 137 / 2018","","","","","http://link.springer.com/journal/12064","Journal"
"Sport Sciences for Health","Sport Sciences for Health","","1 / 2006 - 14 / 2018","","","","","http://link.springer.com/journal/11332","Journal"
"Chemistry of Natural Compounds","Chemistry of Natural Compounds","","1 / 1965 - 54 / 2018","","","","","http://link.springer.com/journal/10600","Journal"
"Biology and Fertility of Soils","Biology and Fertility of Soils","","1 / 1985 - 54 / 2018","","","","","http://link.springer.com/journal/374","Journal"
"Annals of Telecommunications","Annals of Telecommunications","","1 / 1946 - 73 / 2018","","","","","http://link.springer.com/journal/12243","Journal"
"Acta Mathematica","Acta Mathematica","","1 / 1882 - 217 / 2016","","","","","http://link.springer.com/journal/11511","Journal"
"Ocean Science Journal","Ocean Science Journal","","40 / 2005 - 53 / 2018","","","","","http://link.springer.com/journal/12601","Journal"
"Machine Learning","Machine Learning","","1 / 1986 - 107 / 2018","","","","","http://link.springer.com/journal/10994","Journal"
"Journal of Building Appraisal","Journal of Building Appraisal","","1 / 2005 - 6 / 2010","","","","","http://link.springer.com/journal/41487","Journal"
"Il Nuovo Cimento (1877-1894)","Il Nuovo Cimento (1877-1894)","","1 / 1877 - 36 / 1894","","","","","http://link.springer.com/journal/40755","Journal"
"Journal of Healthcare Informatics Research","Journal of Healthcare Informatics Research","","1 / 2017","","","","","http://link.springer.com/journal/41666","Journal"
"Journal of the History of Biology","Journal of the History of Biology","","1 / 1968 - 51 / 2018","","","","","http://link.springer.com/journal/10739","Journal"
"Journal of Occupational Medicine and Toxicology","Journal of Occupational Medicine and Toxicology","","1 / 2006 - 13 / 2018","","","","","http://link.springer.com/journal/12995","Journal"
"Nano Convergence","Nano Convergence","","1 / 2014 - 5 / 2018","","","","","http://link.springer.com/journal/40580","Journal"
"Arthropod-Plant Interactions","Arthropod-Plant Interactions","","1 / 2007 - 12 / 2018","","","","","http://link.springer.com/journal/11829","Journal"
"Sonderprojekte ATZ/MTZ","Sonderprojekte ATZ/MTZ","","21 / 2016 - 22 / 2017","","","","","http://link.springer.com/journal/41491","Journal"
"European Clinics in Obstetrics and Gynaecology","European Clinics in Obstetrics and Gynaecology","","1 / 2005 - 3 / 2008","","","","","http://link.springer.com/journal/11296","Journal"
"CATTECH","CATTECH","","4 / 2000 - 7 / 2003","","","","","http://link.springer.com/journal/10564","Journal"
"BMC Proceedings","BMC Proceedings","","1 / 2007 - 12 / 2018","","","","","http://link.springer.com/journal/12919","Journal"
"Eurasian Soil Science","Eurasian Soil Science","","39 / 2006 - 51 / 2018","","","","","http://link.springer.com/journal/11475","Journal"
"Husserl Studies","Husserl Studies","","1 / 1984 - 34 / 2018","","","","","http://link.springer.com/journal/10743","Journal"
"Journal of Materials for Energy Systems","Journal of Materials for Energy Systems","","1 / 1979 - 8 / 1986","","","","","http://link.springer.com/journal/12386","Journal"
"best practice onkologie","best practice onkologie","","1 / 2006 - 13 / 2018","","","","","http://link.springer.com/journal/11654","Journal"
"Cancer Convergence","Cancer Convergence","","1 / 2017 - 2 / 2018","","","","","http://link.springer.com/journal/41236","Journal"
"Journal of Network and Systems Management","Journal of Network and Systems Management","","1 / 1993 - 26 / 2018","","","","","http://link.springer.com/journal/10922","Journal"
"Life Sciences, Society and Policy","Life Sciences, Society and Policy","","1 / 2005 - 14 / 2018","","","","","http://link.springer.com/journal/40504","Journal"
"Zeitschrift für Epileptologie","Zeitschrift für Epileptologie","","16 / 2003 - 31 / 2018","","","","","http://link.springer.com/journal/10309","Journal"
"Anatomical Science International","Anatomical Science International","","77 / 2002 - 93 / 2018","","","","","http://link.springer.com/journal/12565","Journal"
"Topics in Current Chemistry","Topics in Current Chemistry","","374 / 2016 - 376 / 2018","","","","","http://link.springer.com/journal/41061","Journal"
"Fisheries and Aquatic Sciences","Fisheries and Aquatic Sciences","","19 / 2016 - 21 / 2018","","","","","http://link.springer.com/journal/41240","Journal"
"Multidimensional Systems and Signal Processing","Multidimensional Systems and Signal Processing","","1 / 1990 - 29 / 2018","","","","","http://link.springer.com/journal/11045","Journal"
"Structural Chemistry","Structural Chemistry","","1 / 1990 - 29 / 2018","","","","","http://link.springer.com/journal/11224","Journal"
"Aesthetic Plastic Surgery","Aesthetic Plastic Surgery","","1 / 1976 - 42 / 2018","","","","","http://link.springer.com/journal/266","Journal"
"Canadian Journal of Science, Mathematics and Technology Education","Canadian Journal of Science, Mathematics and Technology Education","","","","","","","http://link.springer.com/journal/42330","Journal"
"Journal of Economic Interaction and Coordination","Journal of Economic Interaction and Coordination","","1 / 2006 - 13 / 2018","","","","","http://link.springer.com/journal/11403","Journal"
"Bulletin of Volcanology","Bulletin of Volcanology","","1 / 1937 - 80 / 2018","","","","","http://link.springer.com/journal/445","Journal"
"Journal of Experimental & Clinical Cancer Research","Journal of Experimental & Clinical Cancer Research","","27 / 2008 - 37 / 2018","","","","","http://link.springer.com/journal/13046","Journal"
"Fungal Diversity","Fungal Diversity","","40 / 2010 - 89 / 2018","","","","","http://link.springer.com/journal/13225","Journal"
"Biomanufacturing Reviews","Biomanufacturing Reviews","","1 / 2016 - 3 / 2018","","","","","http://link.springer.com/journal/40898","Journal"
"ATZautotechnology","ATZautotechnology","","1 / 2001 - 12 / 2012","","","","","http://link.springer.com/journal/35595","Journal"
"Gold Bulletin","Gold Bulletin","","4 / 1971 - 50 / 2017","","","","","http://link.springer.com/journal/13404","Journal"
"CardioVascular and Interventional Radiology","CardioVascular and Interventional Radiology","","1 / 1978 - 41 / 2018","","","","","http://link.springer.com/journal/270","Journal"
"Journal of the International AIDS Society","Journal of the International AIDS Society","","1 / 2006 - 15 / 2012","","","","","http://link.springer.com/journal/13050","Journal"
"Treatments in Respiratory Medicine","Treatments in Respiratory Medicine","","1 / 2002 - 5 / 2006","","","","","http://link.springer.com/journal/40289","Journal"
"Journal of Chemical Ecology","Journal of Chemical Ecology","","1 / 1975 - 44 / 2018","","","","","http://link.springer.com/journal/10886","Journal"
"Language Testing in Asia","Language Testing in Asia","","1 / 2011 - 8 / 2018","","","","","http://link.springer.com/journal/40468","Journal"
"Fudan Journal of the Humanities and Social Sciences","Fudan Journal of the Humanities and Social Sciences","","7 / 2014 - 11 / 2018","","","","","http://link.springer.com/journal/40647","Journal"
"Radioelectronics and Communications Systems","Radioelectronics and Communications Systems","","50 / 2007 - 61 / 2018","","","","","http://link.springer.com/journal/11976","Journal"
"BMC Pediatrics","BMC Pediatrics","","1 / 2001 - 18 / 2018","","","","","http://link.springer.com/journal/12887","Journal"
"Clean Technologies and Environmental Policy","Clean Technologies and Environmental Policy","","1 / 1998 - 20 / 2018","","","","","http://link.springer.com/journal/10098","Journal"
"Current Transplantation Reports","Current Transplantation Reports","","1 / 2014 - 5 / 2018","","","","","http://link.springer.com/journal/40472","Journal"
"Somatic Cell and Molecular Genetics","Somatic Cell and Molecular Genetics","","1 / 1975 - 27 / 2002","","","","","http://link.springer.com/journal/11188","Journal"
"Angiogenesis","Angiogenesis","","1 / 1997 - 21 / 2018","","","","","http://link.springer.com/journal/10456","Journal"
"Fire Science Reviews","Fire Science Reviews","","1 / 2012 - 6 / 2017","","","","","http://link.springer.com/journal/40038","Journal"
"Russian Engineering Research","Russian Engineering Research","","27 / 2007 - 38 / 2018","","","","","http://link.springer.com/journal/11980","Journal"
"The International Journal of Life Cycle Assessment","The International Journal of Life Cycle Assessment","","1 / 1996 - 23 / 2018","","","","","http://link.springer.com/journal/11367","Journal"
"Shape Memory and Superelasticity","Shape Memory and Superelasticity","","1 / 2015 - 4 / 2018","","","","","http://link.springer.com/journal/40830","Journal"
"Doklady Botanical Sciences","Doklady Botanical Sciences","","373 / 2000","","","","","http://link.springer.com/journal/10635","Journal"
"BMC Musculoskeletal Disorders","BMC Musculoskeletal Disorders","","1 / 2000 - 19 / 2018","","","","","http://link.springer.com/journal/12891","Journal"
"La Rivista del Nuovo Cimento","La Rivista del Nuovo Cimento","","1 / 1969 - 2 / 1970","","","","","http://link.springer.com/journal/11546","Journal"
"Journal of Archaeological Research","Journal of Archaeological Research","","1 / 1993 - 26 / 2018","","","","","http://link.springer.com/journal/10814","Journal"
"Côlon & Rectum","Côlon & Rectum","","1 / 2007 - 11 / 2017","","","","","http://link.springer.com/journal/11725","Journal"
"Higher Education Policy","Higher Education Policy","","1 / 1988 - 31 / 2018","","","","","http://link.springer.com/journal/41307","Journal"
"Grundwasser","Grundwasser","","1 / 1996 - 23 / 2018","","","","","http://link.springer.com/journal/767","Journal"
"Scientometrics","Scientometrics","","1 / 1979 - 115 / 2018","","","","","http://link.springer.com/journal/11192","Journal"
"Current HIV/AIDS Reports","Current HIV/AIDS Reports","","1 / 2004 - 15 / 2018","","","","","http://link.springer.com/journal/11904","Journal"
"Agriculture and Human Values","Agriculture and Human Values","","1 / 1984 - 35 / 2018","","","","","http://link.springer.com/journal/10460","Journal"
"Journal of the Korean Physical Society","Journal of the Korean Physical Society","","60 / 2012 - 72 / 2018","","","","","http://link.springer.com/journal/40042","Journal"
"Recherche Transports Sécurité","Recherche Transports Sécurité","","27 / 2011 - 28 / 2012","","","","","http://link.springer.com/journal/13547","Journal"
"Iranian Polymer Journal","Iranian Polymer Journal","","21 / 2012 - 27 / 2018","","","","","http://link.springer.com/journal/13726","Journal"
"Breast Cancer","Breast Cancer","","1 / 1994 - 25 / 2018","","","","","http://link.springer.com/journal/12282","Journal"
"Acta Diabetologica","Acta Diabetologica","","1 / 1964 - 55 / 2018","","","","","http://link.springer.com/journal/592","Journal"
"Indian Journal of Surgical Oncology","Indian Journal of Surgical Oncology","","1 / 2010 - 9 / 2018","","","","","http://link.springer.com/journal/13193","Journal"
"Medisch-Farmaceutische Mededelingen","Medisch-Farmaceutische Mededelingen","","35 / 1997 - 47 / 2009","","","","","http://link.springer.com/journal/12461","Journal"
"International Politics","International Politics","","37 / 2000 - 55 / 2018","","","","","http://link.springer.com/journal/41311","Journal"
"Transportation","Transportation","","1 / 1972 - 45 / 2018","","","","","http://link.springer.com/journal/11116","Journal"
"Structural and Multidisciplinary Optimization","Structural and Multidisciplinary Optimization","","1 / 1989 - 57 / 2018","","","","","http://link.springer.com/journal/158","Journal"
"Neurotoxicity Research","Neurotoxicity Research","","1 / 1999 - 33 / 2018","","","","","http://link.springer.com/journal/12640","Journal"
"ERA Forum","ERA Forum","","1 / 2000 - 18 / 2017","","","","","http://link.springer.com/journal/12027","Journal"
"Manuelle Medizin","Manuelle Medizin","","35 / 1997 - 56 / 2018","","","","","http://link.springer.com/journal/337","Journal"
"Journal of Mechanical Science and Technology","Journal of Mechanical Science and Technology","","1 / 1987 - 32 / 2018","","","","","http://link.springer.com/journal/12206","Journal"
"CEN Case Reports","CEN Case Reports","","1 / 2012 - 7 / 2018","","","","","http://link.springer.com/journal/13730","Journal"
"Photosynthesis Research","Photosynthesis Research","","1 / 1981 - 136 / 2018","","","","","http://link.springer.com/journal/11120","Journal"
"Theoretical and Computational Fluid Dynamics","Theoretical and Computational Fluid Dynamics","","1 / 1989 - 32 / 2018","","","","","http://link.springer.com/journal/162","Journal"
"Journal of Molecular Neuroscience","Journal of Molecular Neuroscience","","1 / 1989 - 64 / 2018","","","","","http://link.springer.com/journal/12031","Journal"
"Rendiconti Lincei. Scienze Fisiche e Naturali","Rendiconti Lincei. Scienze Fisiche e Naturali","","1 / 1990 - 29 / 2018","","","","","http://link.springer.com/journal/12210","Journal"
"Supportive Care in Cancer","Supportive Care in Cancer","","1 / 1993 - 26 / 2018","","","","","http://link.springer.com/journal/520","Journal"
"Tropical Diseases, Travel Medicine and Vaccines","Tropical Diseases, Travel Medicine and Vaccines","","1 / 2015 - 4 / 2018","","","","","http://link.springer.com/journal/40794","Journal"
"Compositio Mathematica","Compositio Mathematica","","105 / 1997 - 139 / 2003","","","","","http://link.springer.com/journal/10599","Journal"
"Diabetes Therapy","Diabetes Therapy","","1 / 2010 - 9 / 2018","","","","","http://link.springer.com/journal/13300","Journal"
"International Applied Mechanics","International Applied Mechanics","","2 / 1966 - 54 / 2018","","","","","http://link.springer.com/journal/10778","Journal"
"Information Geometry","Information Geometry","","","","","","","http://link.springer.com/journal/41884","Journal"
"Journal of Neurodevelopmental Disorders","Journal of Neurodevelopmental Disorders","","1 / 2009 - 10 / 2018","","","","","http://link.springer.com/journal/11689","Journal"
"Journal of Optimization Theory and Applications","Journal of Optimization Theory and Applications","","1 / 1967 - 177 / 2018","","","","","http://link.springer.com/journal/10957","Journal"
"Journal of Solid State Lighting","Journal of Solid State Lighting","","1 / 2014 - 3 / 2016","","","","","http://link.springer.com/journal/40539","Journal"
"Journal of Pseudo-Differential Operators and Applications","Journal of Pseudo-Differential Operators and Applications","","1 / 2010 - 9 / 2018","","","","","http://link.springer.com/journal/11868","Journal"
"Geron","Geron","","16 / 2014 - 20 / 2018","","","","","http://link.springer.com/journal/40718","Journal"
"Reproductive Biology and Endocrinology","Reproductive Biology and Endocrinology","","1 / 2003 - 16 / 2018","","","","","http://link.springer.com/journal/12958","Journal"
"Journal of the Indian Society for Probability and Statistics","Journal of the Indian Society for Probability and Statistics","","17 / 2016 - 18 / 2017","","","","","http://link.springer.com/journal/41096","Journal"
"Journal of Elliptic and Parabolic Equations","Journal of Elliptic and Parabolic Equations","","1 / 2015 - 4 / 2018","","","","","http://link.springer.com/journal/41808","Journal"
"Biomarker Research","Biomarker Research","","1 / 2013 - 6 / 2018","","","","","http://link.springer.com/journal/40364","Journal"
"Systems and Synthetic Biology","Systems and Synthetic Biology","","1 / 2007 - 9 / 2015","","","","","http://link.springer.com/journal/11693","Journal"
"Knowledge Management Research & Practice","Knowledge Management Research & Practice","","1 / 2003 - 15 / 2017","","","","","http://link.springer.com/journal/41275","Journal"
"The Journal of Technology Transfer","The Journal of Technology Transfer","","1 / 1977 - 43 / 2018","","","","","http://link.springer.com/journal/10961","Journal"
