콜라보,타이틀,낙찰가격,출시년도,재질,크기,박스크기,에디션,컨디션,정보 디테일
KAWS (b. 1974),BWWT 400% Be@rbrick,"$5,500.00",2005,Karimoku wood,10-1/2 x 5-1/2 x 3-3/4 inches (26.7 x 14.0 x 9.5 cm),,,"Condition Report*:
Contained in the original box; very light wear to the bottom of the feet; otherwise, there do not appear to be any major condition issues.","KAWS (b. 1974)
BWWT 400% Be@rbrick, 2005
Karimoku wood
10-1/2 x 5-1/2 x 3-3/4 inches (26.7 x 14.0 x 9.5 cm)
Incised with the artist's signature, date, and producer on the reverse
Produced by Medicom Toy, Japan"
KAWS X BE@RBRICK,Companion 1000% (Grey),"$5,000.00",2002,Painted cast vinyl,28 x 13-1/4 x 9-1/2 inches (71.1 x 33.7 x 24.1 cm) (toy),,,"Condition Report*:
Discoloration to white of vinyl; scuffs to the bottom of the feet and the center; surface soil. Does not come in original box.","KAWS X BE@RBRICK
Companion 1000% (Grey), 2002
Painted cast vinyl
28 x 13-1/4 x 9-1/2 inches (71.1 x 33.7 x 24.1 cm) (toy)
Stamped to the reverse 'B@-000.comLTD006 / ©KAWS..02 / ©MEDICOM TOY 2002' and to the underside of the feet 'BE@RBRICK' and 'MEDICOM TOY'
Produced by Medicom Toy, Tokyo"
KAWS X BE@RBRICK,Dissected Companion 1000% (Grey),"$5,000.00",2010,Painted cast vinyl,28 x 13-1/4 x 9-1/2 inches (71.1 x 33.7 x 24.1 cm) (toy),,,"Condition Report*:
Scratches to the underside of the feet; surface soil; Does not come in original box.","KAWS X BE@RBRICK
Dissected Companion 1000% (Grey), 2010
Painted cast vinyl
28 x 13-1/4 x 9-1/2 inches (71.1 x 33.7 x 24.1 cm) (toy)
Stamped to the underside of the right foot 'KAWS.. / OriginaFake'
Produced by Medicom Toy and OriginalFake, Tokyo"
KAWS X BE@RBRICK,BBWW Tour 1000%,"$5,000.00",2012,"Cast resin, with fabric",28-1/4 x 14 x 9 inches (71.8 x 35.6 x 22.9 cm),,,"Condition Report*:
Mild surface soil to fabric. Comes in original box.","KAWS X BE@RBRICK
BBWW Tour 1000%, 2012
Cast resin, with fabric
28-1/4 x 14 x 9 inches (71.8 x 35.6 x 22.9 cm)
Stamped on the underside of the feet
Published by Medicom Toy, Tokyo

This work was created to celebrate the 6th anniversary of the OriginalFake x Medicom Toy collaboration."
KAWS X BE@RBRICK,Dissected Companion 1000% (Grey),"$4,750.00",2010,Painted cast vinyl,28-1/4 x 13-3/4 x 9 inches (71.8 x 34.9 x 22.9 cm),,,"Condition Report*:
Mild scuffs to the back of the head; scattered dents above the left leg on the reverse; surface soil. Comes in original box.","KAWS X BE@RBRICK
Dissected Companion 1000% (Grey), 2010
Painted cast vinyl
28-1/4 x 13-3/4 x 9 inches (71.8 x 34.9 x 22.9 cm)
Stamped on the underside of the feet
Published by Medicom Toy, Tokyo"
KAWS (b. 1974),Chompers BE@RBRICK 1000%,"$4,500.00",2003,Painted cast vinyl,28-1/4 x 14 x 9 inches (71.8 x 35.6 x 22.9 cm),,,"Condition Report*:
Contained in the original box; detailed condition report available upon request.","KAWS (b. 1974)
Chompers BE@RBRICK 1000%, 2003
Painted cast vinyl
28-1/4 x 14 x 9 inches (71.8 x 35.6 x 22.9 cm)
Stamped with the artist's name, date, and fabricator on the reverse
Produced by Medicom Toy, Japan and a-nation"
KAWS X BE@RBRICK,Dissected Companion 1000% (Grey),"$4,250.00",2010,Painted cast vinyl,28 x 13-1/4 x 9-1/2 inches (71.1 x 33.7 x 24.1 cm),,,"Condition Report*:
No apparent condition issues. Comes in original box. 31 x 16 x 12 inches. Never been exhibited.
Unframed","KAWS X BE@RBRICK
Dissected Companion 1000% (Grey), 2010
Painted cast vinyl
28 x 13-1/4 x 9-1/2 inches (71.1 x 33.7 x 24.1 cm)
Stamped to the underside of the right foot
Produced by Medicom Toy and OriginalFake, Tokyo"
KAWS (b. 1974),Companion BE@RBRICK 1000%,"$4,000.00",2002,Painted cast vinyl,28-1/4 x 14 x 9 inches (71.8 x 35.6 x 22.9 cm),,,"Condition Report*:
Contained in the original box; detailed condition report available upon request.","KAWS (b. 1974)
Companion BE@RBRICK 1000%, 2002
Painted cast vinyl
28-1/4 x 14 x 9 inches (71.8 x 35.6 x 22.9 cm)
Stamped with the artist's name, date, and fabricator on the reverse
Produced by Medicom Toy, Japan"
KAWS X BE@RBRICK,Dissected Companion 1000% (Grey),"$3,500.00",2010,Painted cast vinyl,28 x 13-1/4 x 9-1/2 inches (71.1 x 33.7 x 24.1 cm),,,"Condition Report*:
Mild scuffs and scratches to the legs and feet; surface soil. Comes in original box.
Unframed","KAWS X BE@RBRICK
Dissected Companion 1000% (Grey), 2010
Painted cast vinyl
28 x 13-1/4 x 9-1/2 inches (71.1 x 33.7 x 24.1 cm)
Stamped to the underside of the right foot
Produced by Medicom Toy and OriginalFake, Tokyo"
KAWS X BE@RBRICK,Companion 400% (Grey),"$3,500.00",2002,Painted cast vinyl,10-3/4 x 5 x 3-1/2 inches (27.3 x 12.7 x 8.9 cm) (toy),11-1/2 x 6-1/4 x 4-3/8 inches (29.2 x 15.9 x 11.1 cm) (box),,"Condition Report*:
Mild surface soil.","KAWS X BE@RBRICK
Companion 400% (Grey), 2002
Painted cast vinyl
10-3/4 x 5 x 3-1/2 inches (27.3 x 12.7 x 8.9 cm) (toy)
11-1/2 x 6-1/4 x 4-3/8 inches (29.2 x 15.9 x 11.1 cm) (box)
Stamped on the reverse 'B@-000.comLTD005 / ©KAWS..02 / ©Medicom Toy 2002' and the underside of the feet 'BE@RBRICK' and 'Medicom Toy'
Produced by Medicom Toy and BE@RBRICK, Japan

Comes in yellow molded plastic, in white box with black lettering."
"KAWS (American, b. 1974)",Chomper BE@RBRICK 1000% ,"$3,500.00",2003,Painted cast vinyl,28-1/4 x 13-1/2 x 7 inches (71.8 x 34.3 x 17.8 cm),,,"Condition Report*:
Scratches and wear to bottom of the feet; scratches and scuffs to backs of the legs; surface soil and smudges. This lot does not come in original box.","KAWS (American, b. 1974)
Chomper BE@RBRICK 1000% , 2003
Painted cast vinyl
28-1/4 x 13-1/2 x 7 inches (71.8 x 34.3 x 17.8 cm)
Stamped on the underside of the feet
Published by Medicom Toy, Tokyo"
BE@RBRICK X Mastermind,World Wide Tour 1000% (Silver and Gold) (two works),"$3,500.00",2007,Painted cast vinyl (each),28-1/4 x 14 x 6-1/2 inches (71.8 x 35.6 x 16.5 cm) (each),,,"Condition Report*:
Scattered scratches, wear, and surface dust throughout, most notably at the bottom of the feet and back of the head of each; scattered stains through out each. Each comes in original box.","BE@RBRICK X Mastermind
World Wide Tour 1000% (Silver and Gold) (two works), 2007
Painted cast vinyl (each)
28-1/4 x 14 x 6-1/2 inches (71.8 x 35.6 x 16.5 cm) (each)
Limited Edition
Each stamped on the underside of the feet
Published by Medicom Toy, Tokyo"
KAWS X BE@RBRICK,Dissected Companion 1000%,"$3,250.00",2008,Painted cast vinyl,28-1/4 x 14 x 9 inches (71.8 x 35.6 x 22.9 cm),,,"Condition Report*:
Contained in the original box; detailed condition report available upon request.","KAWS X BE@RBRICK
Dissected Companion 1000%, 2008
Painted cast vinyl
28-1/4 x 14 x 9 inches (71.8 x 35.6 x 22.9 cm)
Stamped on the underside of the feet
Published by Medicom Toy, Tokyo"
"KAWS (American, b. 1974)",Companion BE@RBRICK 1000%,"$3,250.00",2002,Painted cast vinyl,28-1/4 x 14 x 9 inches (71.8 x 35.6 x 22.9 cm),,,"Condition Report*:
Condition report available upon request.","KAWS (American, b. 1974)
Companion BE@RBRICK 1000%, 2002
Painted cast vinyl
28-1/4 x 14 x 9 inches (71.8 x 35.6 x 22.9 cm)
Stamped on the reverse
Published by Medicom Toy, Tokyo"
KAWS X BE@RBRICK,Companion 400% (Blue/Grey),"$3,000.00",2006,Painted cast vinyl,10-3/4 x 5 x 3-1/2 inches (27.3 x 12.7 x 8.9 cm) (toy),11-1/2 x 6-1/8 x 4-1/2 inches (29.2 x 15.6 x 11.4 cm) (box),,"Condition Report*:
Mild staining to the crevaces.","KAWS X BE@RBRICK
Companion 400% (Blue/Grey), 2006
Painted cast vinyl
10-3/4 x 5 x 3-1/2 inches (27.3 x 12.7 x 8.9 cm) (toy)
11-1/2 x 6-1/8 x 4-1/2 inches (29.2 x 15.6 x 11.4 cm) (box)
Stamped on the reverse 'OriginaFake / ©KAWS..06' and to the underside of the feet 'BE@RBRICK' and 'Medicom Toy'
Produced by Medicom Toy and OriginalFake, Tokyo

Comes in white molded plastic, in black box with black lettering."
KAWS X BE@RBRICK,Dissected Companion 400% and 100% (Black) (two works),"$2,750.00",2010,Painted cast vinyl,10-3/4 x 5 x 3-1/2 inches (27.3 x 12.7 x 8.9 cm) (400%),,,"Condition Report*:
No apparent condition issues. Each comes in original unopened packaging. Never been exhibited.
Unframed","KAWS X BE@RBRICK
Dissected Companion 400% and 100% (Black) (two works), 2010
Painted cast vinyl
10-3/4 x 5 x 3-1/2 inches (27.3 x 12.7 x 8.9 cm) (400%)
2-3/4 x 1-1/4 x 3/4 inches (7 x 3.2 x 1.9 cm) (100%)
Stamped on the underside of the feet
Produced by Medicom Toy and OriginalFake, Tokyo"
KAWS X BE@RBRICK,Chompers 1000%,"$2,625.00",2003,Painted cast vinyl,28-1/4 x 13-1/2 x 8 inches (71.8 x 34.3 x 20.3 cm),,,"Condition Report*:
Two large cracks to the left ear; discoloration to crevaces; 1/ dent on the back; mild surface soil; mild scuffs to the bottom of the feet. Does NOT come in original box.","KAWS X BE@RBRICK
Chompers 1000%, 2003
Painted cast vinyl
28-1/4 x 13-1/2 x 8 inches (71.8 x 34.3 x 20.3 cm)
Stamped on the reverse
Published by Medicom Toy and a-nation, Tokyo"
BE@RBRICK X Billionaire Boys Club,Astronaut 400%,"$2,375.00",2017,Painted cast vinyl,10-3/4 x 5 x 3-1/2 inches (27.3 x 12.7 x 8.9 cm),,,"Condition Report*:
No apparent condition issues. Comes in original unopened packaging. 11-1/2 x 6-1/4 x 4-1/4 inches.
Unframed","BE@RBRICK X Billionaire Boys Club
Astronaut 400%, 2017
Painted cast vinyl
10-3/4 x 5 x 3-1/2 inches (27.3 x 12.7 x 8.9 cm)
Produced by Medicom Toy, Tokyo"
KAWS X BE@RBRICK,Dissected Companion 400% and 100% (Grey) (two works),"$2,250.00",2010,Painted cast vinyl,10-3/4 x 5 x 3-1/2 inches (27.3 x 12.7 x 8.9 cm) (400%),,,"Condition Report*:
No apparent condition issues. Each lot comes in original packaging. Box 11-1/2 x 6-1/4 x 4-1/2 inches.","KAWS X BE@RBRICK
Dissected Companion 400% and 100% (Grey) (two works), 2010
Painted cast vinyl
10-3/4 x 5 x 3-1/2 inches (27.3 x 12.7 x 8.9 cm) (400%)
Each stamped on the underside of the feet
Produced by Medicom Toy and OriginalFake, Tokyo"
KAWS X BE@RBRICK,Dissected Companion 100% and 400% (two works),"$2,250.00",2008,Painted cast vinyl,11 x 5-1/4 x 2-1/2 inches (27.9 x 13.3 x 6.4 cm) (400%),,Edition of 500,"Condition Report*:
A few small scratches to back of the right leg of 400%; mild surface soil to both. Each comes in original box.","KAWS X BE@RBRICK
Dissected Companion 100% and 400% (two works), 2008
Painted cast vinyl
11 x 5-1/4 x 2-1/2 inches (27.9 x 13.3 x 6.4 cm) (400%)
Edition of 500
Stamped on the underside of the feet
Published by Medicom Toy and Original Fake, Tokyo"
KAWS X BE@RBRICK,Chompers 400% and 100% (two works),"$2,125.00",2003,Painted cast vinyl,10-3/4 x 5 x 3-1/2 inches (27.3 x 12.7 x 8.9 cm) (400%),,,"Condition Report*:
Brown staining to the top of the head of 100%; mild scratches to the bottom of the feet of 400%.","KAWS X BE@RBRICK
Chompers 400% and 100% (two works), 2003
Painted cast vinyl
10-3/4 x 5 x 3-1/2 inches (27.3 x 12.7 x 8.9 cm) (400%)
2-3/4 x 1-1/4 x 1 inches (7 x 3.2 x 2.5 cm) (100%)
11-7/8 x 7-7/8 x 4-3/4 inches (30.2 x 20 x 12.1 cm) (box)
Each stamped on the reverse 'B@000.comLTD011 / ©KAWS..03 / ©axev' (400%) and 'B@000.comLTD010 / ©KAWS..03 / ©axev' (100%)
Produced by Medicom Toy and a-nation, Japan

Comes in white molded plastic, in white box with light blue lettering."
KAWS X BE@RBRICK,Dissected Companion 400% (Grey),"$2,000.00",2010,Painted cast vinyl,10-3/4 x 5 x 3-1/2 inches (27.3 x 12.7 x 8.9 cm) (toy),11-1/2 x 6-1/4 x 4-1/2 inches (29.2 x 15.9 x 11.4 cm) (box),,"Condition Report*:
Mild surface soil.","KAWS X BE@RBRICK
Dissected Companion 400% (Grey), 2010
Painted cast vinyl
10-3/4 x 5 x 3-1/2 inches (27.3 x 12.7 x 8.9 cm) (toy)
11-1/2 x 6-1/4 x 4-1/2 inches (29.2 x 15.9 x 11.4 cm) (box)
Stamped on the underside of the feet 'KAWS.. / OriginaFake'
Produced by Medicom Toy and OriginalFake, Tokyo

Comes in white molded plastic, in grey box with grey foil lettering."
KAWS X BE@RBRICK,Dissected Companion 1000% (Grey),"$1,875.00",2008,Painted cast vinyl,28 x 13-1/4 x 9-1/2 inches (71.1 x 33.7 x 24.1 cm),,,"Condition Report*:
Comes in original box. 31 x 16 x 12 inches. Never been exhibited.
Unframed","KAWS X BE@RBRICK
Dissected Companion 1000% (Grey), 2008
Painted cast vinyl
28 x 13-1/4 x 9-1/2 inches (71.1 x 33.7 x 24.1 cm)
Stamped to the underside of right foot
Produced by Medicom Toy and OriginalFake, Tokyo"
KAWS X BE@RBRICK,Dissected Companion 400% (Black),"$1,875.00",2010,Painted cast vinyl,10-3/4 x 5 x 3.5 inches (27.3 x 12.7 x 8.9 cm) (toy),11-1/2 x 6-1/4 x 4-1/4 inches (29.2 x 15.9 x 10.8 cm) (box),,"Condition Report*:
Scattered mild scratches.","KAWS X BE@RBRICK
Dissected Companion 400% (Black), 2010
Painted cast vinyl
10-3/4 x 5 x 3.5 inches (27.3 x 12.7 x 8.9 cm) (toy)
11-1/2 x 6-1/4 x 4-1/4 inches (29.2 x 15.9 x 10.8 cm) (box)
Stamped on the underside of the feet 'KAWS... / OriginaFake'
Produced by Medicom Toy and OriginalFake, Tokyo

Comes in white molded plastic, in black box with silver foil lettering."
KAWS X BE@RBRICK,Companion 1000%,"$1,875.00",2002,Painted cast vinyl,28-1/4 x 14 x 9 inches (71.8 x 35.6 x 22.9 cm),,,"Condition Report*:
Heavy surface soil; scattered scratches and scuffs to the body; brown stain at center of stomach. Does not come with original box.","KAWS X BE@RBRICK
Companion 1000%, 2002
Painted cast vinyl
28-1/4 x 14 x 9 inches (71.8 x 35.6 x 22.9 cm)
Stamped on the reverse
Published by Medicom Toy, Tokyo"
BE@RBRICK X Andy Warhol Foundation,Andy Warhol,"$1,750.00",2015,Painted cast vinyl,28-1/4 x 13-1/2 x 9 inches (71.8 x 34.3 x 22.9 cm),,,"Condition Report*:
Two small scratches to the nose; mild surface soil; mild scratches to the back of the head; two small scuffs to the back of the head; scuff to the tip of the right ear. Comes in original box. 32 x 16 x 12 inches.","BE@RBRICK X Andy Warhol Foundation
Andy Warhol, 2015
Painted cast vinyl
28-1/4 x 13-1/2 x 9 inches (71.8 x 34.3 x 22.9 cm)
Ed. 54
Stamped on the reverse and the underside of the feet
Published by Medicom Toy, Tokyo"
KAWS X BE@RBRICK,Dissected Companion 400% and 100% (two works),"$1,625.00",2008,Painted cast vinyl,10-3/4 x 5 x 3-1/2 inches (27.3 x 12.7 x 8.9 cm) (400%),,,"Condition Report*:
No apparent condition issues. Each comes in original unopened box. Never been exhibited.
Unframed","KAWS X BE@RBRICK
Dissected Companion 400% and 100% (two works), 2008
Painted cast vinyl
10-3/4 x 5 x 3-1/2 inches (27.3 x 12.7 x 8.9 cm) (400%)
2-3/4 x 1-1/4 x 3/4 inches (7 x 3.2 x 1.9 cm) (100%)
Each stamped on the underside of the feet
Produced by Medicom Toy and OriginalFake, Tokyo"
KAWS X BE@RBRICK,Dissected Companion 400%,"$1,625.00",2008,Painted cast vinyl,10-3/4 x 5 x 3-1/2 inches (27.3 x 12.7 x 8.9 cm) (toy),11-1/2 x 6-1/4 x 4-1/2 inches (29.2 x 15.9 x 11.4 cm) (box),,"Condition Report*:
Mild scratches to the reverse.","KAWS X BE@RBRICK
Dissected Companion 400%, 2008
Painted cast vinyl
10-3/4 x 5 x 3-1/2 inches (27.3 x 12.7 x 8.9 cm) (toy)
11-1/2 x 6-1/4 x 4-1/2 inches (29.2 x 15.9 x 11.4 cm) (box)
Stamped on the underside of the right foot 'KAWS..08 / OriginaFake'
Produced by Medicom Toy and OriginalFake, Tokyo

Comes in white molded plastic, in red box with silver foil lettering."
KAWS X BE@RBRICK,Dissected Companion 400% (Grey),"$1,625.00",2010,Painted cast vinyl,10-1/2 x 5-1/4 x 3-1/2 inches (26.7 x 13.3 x 8.9 cm),,,"Condition Report*:
Mild surface soil; mild scattered fingerprint smudges; mild scattered scuff marks. Comes in original box. 11-1/2 x 6-1/4 x 4-1/4 inches.","KAWS X BE@RBRICK
Dissected Companion 400% (Grey), 2010
Painted cast vinyl
10-1/2 x 5-1/4 x 3-1/2 inches (26.7 x 13.3 x 8.9 cm)
Stamped on the underside of the feet
Published by Medicom Toy, Tokyo"
KAWS X BE@RBRICK,Dissected Companion 200%,"$1,500.00",2009,Painted metal,5-3/4 x 2-1/2 x 2 inches (14.6 x 6.4 x 5.1 cm) (toy),6-3/4 x 4 x 3 inches (17.1 x 10.2 x 7.6 cm) (box),,"Condition Report*:
Very mild surface soil.","KAWS X BE@RBRICK
Dissected Companion 200%, 2009
Painted metal
5-3/4 x 2-1/2 x 2 inches (14.6 x 6.4 x 5.1 cm) (toy)
6-3/4 x 4 x 3 inches (17.1 x 10.2 x 7.6 cm) (box)
Stamped on the underside of the feet 'BAN DAI / BANDAI 2009 / MADE IN CHINA' and 'KAWS.. / OriginaFake'
Produced by Medicom Toy and OriginalFake, Tokyo

Comes in Styrofoam, in red box with silver foil lettering."
KAWS X BE@RBRICK,Chompers 400%,"$1,375.00",2003,Painted cast vinyl,10-1/2 x 5-1/4 x 3-1/2 inches (26.7 x 13.3 x 8.9 cm),,,"Condition Report*:
Discoloration to the left side of head; scuffs to the bottom of the feet; mild scattered scratches. Comes in original box. 12 x 8 x 4-3/4 inches.","KAWS X BE@RBRICK
Chompers 400%, 2003
Painted cast vinyl
10-1/2 x 5-1/4 x 3-1/2 inches (26.7 x 13.3 x 8.9 cm)
Stamped on the reverse and the underside of the feet
Published by Medicom Toy and a-nation, Tokyo"
BE@RBRICK X Lucas Films,Darth Vader Holographic 1000%,"$1,250.00",2016,Painted cast resin,28 x 13-1/4 x 9-1/2 inches (71.1 x 33.7 x 24.1 cm),,,"Condition Report*:
No apparent condition issues. Comes in original box.
Unframed","BE@RBRICK X Lucas Films
Darth Vader Holographic 1000%, 2016
Painted cast resin
28 x 13-1/4 x 9-1/2 inches (71.1 x 33.7 x 24.1 cm)
Stamped to the reverse and the underside of the feet
Produced by Medicom Toy, Tokyo"
KAWS X BE@RBRICK,Companion 400%,"$1,250.00",2002,Painted cast vinyl,10-1/2 x 5 x 3-1/2 inches (26.7 x 12.7 x 8.9 cm),,,"Condition Report*:
Paint loss to the back of the feet; scuffs to the top of the head and bottom of the feet; spots of discoloration to the face and hands; surface soil. Comes in original box. 11-1/2 x 6-1/4 x 4-1/4 inches.","KAWS X BE@RBRICK
Companion 400%, 2002
Painted cast vinyl
10-1/2 x 5 x 3-1/2 inches (26.7 x 12.7 x 8.9 cm)
Stamped on the reverse and the underside of the feet
Published by Medicom Toy, Tokyo"
BE@RBRICK X Alexander Girard,International Love Heart 1000%,"$1,187.50",2009,Painted cast resin,28 x 13-1/4 x 9-1/2 inches (71.1 x 33.7 x 24.1 cm),,,"Condition Report*:
Scuffs to the back of the head; mild surface soil. Comes in original box.
Unframed","BE@RBRICK X Alexander Girard
International Love Heart 1000%, 2009
Painted cast resin
28 x 13-1/4 x 9-1/2 inches (71.1 x 33.7 x 24.1 cm)
Stamped to the reverse and the underside of the feet
Produced by Medicom Toy, Tokyo"
KAWS X BE@RBRICK,Chompers 400% and 100% (two works),"$1,125.00",2003,"Painted cast vinyl, each",10-3/4 x 3 x 5 inches (27.3 x 7.6 x 12.7 cm) (400%),,,"Condition Report*:
Contained in the original box; detailed condition report available upon request.","KAWS X BE@RBRICK
Chompers 400% and 100% (two works), 2003
Painted cast vinyl, each
10-3/4 x 3 x 5 inches (27.3 x 7.6 x 12.7 cm) (400%)
2-3/4 x 1 x 1-1/2 inches (7.0 x 2.5 x 3.8 cm) (100%)
Stamped on the reverse
Published by Medicom Toy, Tokyo"
